english,arabic
Ace,الآس
Aced,تفوّق
Acedia,البلادة و الفتور الرّوحيّ، الملل
Aceitunas,مدينة أسيتناس
Aceldama,مكان التجمعات الفظيعة
Acellular,غير خلوي
Acentric,لا مركزيّ
Acephala,الرخويّات كالمحار والقواقع
Acephali,طائفة مسيحيّة بدون زعيم
Acephalous,بدون رأس
Acequia,قناة مائية للري
Acer,إسر
Aceraceae,أسيريسا - فصيلة من الأشجار
Acerate,ضيّق ومدبب
Acerb,حمضيّ المذاق
Acerbate,ساخط
Acerbated,أثار
Acerbating,الإثارة
Acerbic,لاذع
Acerbity,الحدّة
Aceric,حمض الأسيريك
Acerola,فاكهة الأسيرولا
Acerose,ضيّق ومدبب
Acervate,عنقوديّ
Acervation,التّراكم
Aces,الآسات
Acetabular,التّجويف بشكل الفنجان في قاعدة عظمة الفخذ
Acetabulum,التّجويف بشكل الفنجان في قاعدة عظمة الفخذ
Acetal,الأسيتال - أيّ مركّب عضويّ تشكّل بإضافة الكحول
Acetaldehyde,الأسيتالديهيد - سائل قابل للذّوبان متطاير عديم اللّون
Acetaminophen,أسيتامينوفين - مسكّن للألم
Acetanilide,أسيتانيلايد - مركب يستخدم كمسكّن للألم
Acetarious,أسيتاريوس - يستخدم في السّلطات
Acetate,الآستات
Acetated,اتّحد بحمض الخلّ
Acetic,خلّي
Acetified,خلّل
Acetifies,يخلّل
Acetify,خلّل
Acetifying,التّخليل
Acetin,اتّحاد حمض الخلّ بالجليسرين
Acetol,أسيتول
Acetone,الأسيتون
Acetose,كمذاق الخل
Acetous,كمذاق الخل
Acetyl,المجموعة المتكاملة لحمض الخلّ
Acetylcholine,مشتقّ كولين أبيض و شفّاف
Acetylene,الأسيتيلين
Acf,وظيفة الاتّصالات المتقدّمة
Ach,آتش - إسم يطلق على العديد من النباتات
Achaean,عضو لأحد الأقسام الأربعة لليونانيّين القدماء
Achaian,عضو لأحد الأقسام الأربعة لليونانيّين القدماء
Acharnement,الهمجيّة
Ache,الوجع
Ached,آلم
Achene,الفاكهة الجافّة الصّغيرة
Achenial,متعلق بالفاكهة الجافّة الصّغيرة
Acheron,أكرون - نهر في جهنّم . الأساطير اليونانيّة
Acheronian,غامق و كئيب
Acherontic,غامق و كئيب
Aches,الأوجاع
Achier,أتشير
Achiest,متألّم
Achievability,المقدرة على الإنجاز
Achievable,قابل للإنجاز
Achieve,حقّق
Achieved,حقّق
Achievement,الإنجاز
Achievements,الإنجازات
Achiever,النّاجح
Achievers,النّاجحون
Achieves,يحقّق
Achieving,التّحقيق
Achille,مدينة أتشيل
Achillea,أتشيلي - نوع من النباتات
Achillean,منيع
Achilles,أكيليز
Achimenes,أتشيمينيز - نوع من النباتات
Achiness,الألم
Achinesses,الآلام
Aching,الإيلام
Achingly,بشكل مؤلم
Achiote,أتشيوت - بذور شجرة الأنوتو
Achira,أتشيرا - نبات ذو جذور صالحة للأكل
Achondroplasia,تشوّهات هيكليّة موروثة
Achras,أتشراس - أشجار استوائيّة
Achromasia,النّقص الغير طبيعيّ للون الجلد
Achromatic,لا لونيّ
Achromatically,لا لونيّاً
Achromaticity,الأكروماتية، بلا لون
Achromatism,الأكروماتية، بلا لون
Achromycin,أكروميسين - مضادّ حيويّ
